119509520|When you are angry, judgmental, racist, depressed, and you make a choice based on that, it's usually becuz of fear.
14293310|Winner of Zimbabwe's Mister Ugly contest deemed too handsome by angry crowd  
268116640|Do not teach Ur children never 2B angry; teach them how to 2B angry. U don't have to attend every argument U are invited to.
759251|Poll shows how angry Republicans are at the government  
50323173|National Basketball Referees Association issues statement angry that Mike Budenholzer wasn't suspended for physical contact with official.
259725229|Time to reach 50 million users:  Radio 38 years TV 13 years Internet 4 years  9 months Angry Birds 35 days 
166478326|can anyone recommend me good gym music to listen to? using spotify.   want like angry aggression mixed with undst undst.
258620242|Psychology says, no matter how angry you get, you always end up forgiving the people you love.
196168350|Charles Johnson...recently banned from Twitter, a punishment yet to be visited upon supporters of the Islamic State. 
134758540|Angry over APJ Abdul Kalam's bungalow not made a memorial, his grandnephew quits BJP  
1157784678|Can you teach AI to recognize human emotion? #ProjectOxford makes this possible for everyone  
26809005|Benitez: Real Madrid players were angry  
35843516|Your happy is my elated. Your sad is my depressed. Your angry is my livid.
1148581069|An angry dolphin protecting the new special dakimakura... What are other #OddThingsToFindInBed? #SENRANKAGURA 
